final fantasy 14,100
ffxiv,100
ffxiv_art,100
ffxivoc,100
ffxivscreenshots,100
eorzeaphotos,100
ffxivgpose,100
ffxivsnaps,100
ff14 keynote,100
ffxiv keynote,100
warrior of light,100
g'raha tia,100
crystal conflict,100
finalfantasyxiv,100
papalymo,90
louisoix,90
lahabrea,90
elidibus,90
emet selch,90
emet-selch,90
emetselch,90
hythlodaeus,90
a realm reborn,90
heavensward,90
stormblood,90
shadowbringers,90
endwalker,90
dawntrail,90
relic weapon,90
hildebrand,90
godbert,90
aetheryte,90
asphodelos,90
abyssos,90
anabaseios,90
euphrosyne,90
mor dhona,90
ala mhigo,90
limsa lominsa lower decks,90
limsa lominsa upper decks,90
new gridania,90
old gridania,90
ul'dah steps of thal,90
ul'dah steps of nald,90
kugane,90
the crystarium,90
old sharlayan,90
revenant's toll,90
idyllshire,90
rhalgr's reach,90
eulmore,90
radz-at-han,90
wolves' den pier,90
the lavender beds,90
the goblet,90
shirogane,90
empyreum,90
the firmament,90
the doman enclave,90
middle la noscea,90
lower la noscea,90
eastern la noscea,90
western la noscea,90
upper la noscea,90
outer la noscea,90
central shroud,90
east shroud,90
south shroud,90
north shroud,90
western thanalan,90
central thanalan,90
eastern thanalan,90
southern thanalan,90
northern thanalan,90
rising stones,90
fortemps manor,90
saint endalim's scholasticate,90
coerthas central highlands,90
coerthas western highlands,90
the sea of clouds,90
azys lla,90
aymeric,80
merlwyb,80
kan-e-senna,80
raubahn,80
nanamo,80
hildibrand,80
garlean,80
garlemald,80
sharlayan,80
etheirys,80
amaurot,80
elpis,80
meteion,80
venat,80
azem,80
hydaelyn,80
zodiark,80
dalamud,80
hraesvelgr,80
midgardsormr,80
nidhogg,80
azdaja,80
vrtra,80
aglaia,80
soken,80
square enix,70
squareenix,70
squeenix,70
ucob,70
party finder,70
duty finder,70
shiva,60
odin,60
garuda,60
titan,60
ifrit,60
ramuh,60
leviathan,60
pandaemonium,60
raid,60
chocobo,50
bozja,50
ishgardian,50
gil,50
fanfest,50
yda,50
lyse,50
nabriales,50
fandaniel,50
gangos,50
alexander,40
hades,40
arr,40
ilvl,40
aether,40
p1,40
p2,40
p3,40
p4,40
p5,40
p6,40
p7,40
p8,40
p9,40
p10,40
p11,40
p12,40
p1s,40
p2s,40
p3s,40
p4s,40
p5s,40
p6s,40
p7s,40
p8s,40
p9s,40
p10s,40
p11s,40
p12s,40
gold saucer,40
mgp,40
tomestones,40
paladin,40
warrior,40
dark knight,40
gunbreaker,40
white mage,40
scholar,40
astrologian,40
sage,40
monk,40
dragoon,40
ninja,40
samurai,40
bard,40
machinist,40
black mage,40
summoner,40
red mage,40
blue mage,40
phoenix,30
alpha,30
omega,30
eden,30
eureka,30
square,30
pld,30
war,30
drk,30
gnb,30
whm,30
sch,30
ast,30
sge,30
mnk,30
drg,30
nin,30
sam,30
brd,30
mch,30
dancer,30
dnc,30
smn,30
rdm,30
blu,30
frontlines,20
ffxiv&&chocobo,10
pashtarot,10
altima,10
emmerololth,10
igeyorhm,10
loghrif,10
mitron,10
halmarut,10
deudalaphon,10
travanchet,10
ratatoskr,10
syrcus trench,10
the dravanian forelands,10
the churning mists,10
the dravanian hinterlands,10
the royal menagerie,10
the ruby sea,10
yanxia,10
the azim steppe,10
lakeland,10
kholusia,10
amh araeng,10
il mheg,10
the rak'tika greatwood,10
labyrinthos,10
thavnair,10
mare lamentorum,10
ultima thule,10
the gates of pandæmonium,10
terncliff,10
the omphalos,10
garlean empire,10
gaius van baelsar,10
gaius,10
zenos yae galvus,10
nael van darnus,10
nael,10
solus zos galvus,10
nero tol scaeva,10
livia sas junius,10
rhitahtyn sas arvina,10
scions of the seventh dawn,10
garlond ironworks,10
potd,10
hoh,10
palace of the dead,10
heaven on high,10
midlander,10
highlander,10
wildwood,10
duskwight,10
plainsfolk,10
dunesfolk,10
seekers of the sun,10
keepers of the moon,10
sea wolves,10
hellsguard,10
raen,10
xaela,10
rava,10
veena,10
helions,10
blm,10
wolgraha,100
wol graha,100
lunarcon,100
